,kategori,P@1,P@2,P@3,P@4,P@5,P@6,P@7,P@8,P@9,P@10
@projectreview,Gadgets,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9
@radityadika,Entertainment,0.0,0.5,0.3333,0.5,0.4,0.3333,0.2857,0.25,0.2222,0.2
@raisa6690,Music,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.8
@riasukmawijaya,Food,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
@ridwanhr,Automotive,1.0,0.5,0.6667,0.75,0.6,0.5,0.4286,0.5,0.4444,0.4
@rrq_lemon,Gaming,1.0,0.5,0.3333,0.5,0.4,0.3333,0.2857,0.375,0.4444,0.4
@tanboykun,Food,1.0,0.5,0.3333,0.5,0.6,0.6667,0.7143,0.625,0.5556,0.5
@taulany_tv,Entertainment,1.0,1.0,1.0,1.0,0.8,0.6667,0.7143,0.625,0.5556,0.6
@tempovideochannel,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.7778,0.8
@tribunnews,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.875,0.8889,0.8
@tvOneNews,News,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8889,0.8
@ybrap,Entertainment,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
--- AVERAGE ---,AVERAGE,0.78,0.73,0.69,0.6375,0.6,0.5683,0.5486,0.5062,0.4767,0.44
